"AptName"	"SeqId"	"SeqIdVersion"	"SomaId"	"TargetFullName"	"Target"	"UniProt"	"EntrezGeneID"	"EntrezGeneSymbol"	"Organism"	"Units"	"Type"	"Dilution"	"PlateScale_Reference"	"CalReference"	"Cal_Example_Adat_Set001"	"ColCheck"	"CalQcRatio_Example_Adat_Set001_170255"	"QcReference_170255"	"Cal_Example_Adat_Set002"	"CalQcRatio_Example_Adat_Set002_170255"	"Dilution2"
"seq.18907.97"	"18907-97"	3	"SL007235"	"Killer cell immunoglobulin-like receptor 3DL1"	"KI3L1"	"P43629"	"3811"	"KIR3DL1"	"Human"	"RFU"	"Protein"	"0.5"	2376.4	2376.4	1.00840193	"PASS"	1.048	2601.3	0.84272492	1.02	0.005
"seq.18909.11"	"18909-11"	3	"SL019371"	"Exosome complex component RRP43"	"EXOS8"	"Q96B26"	""	"EXOSC8"	"Human"	"RFU"	"Protein"	"20"	471.7	471.7	0.97017688	"PASS"	0.997	608.6	0.96501637	1.008	0.2
"seq.18910.45"	"18910-45"	3	"SL021281"	"Protein lin-7 homolog A"	"LIN7A"	"O14910"	"8825"	"LIN7A"	"Human"	"RFU"	"Protein"	"20"	714.5	714.5	0.98633352	"PASS"	0.978	1996.2	0.96501891	0.987	0.2
"seq.18913.3"	"18913-3"	3	"SL000391"	"Cyclin-H"	"Cyclin H"	"P51946"	"902"	"CCNH"	"Human"	"RFU"	"Protein"	"20"	446.4	446.4	1.01662491	"PASS"	0.893	2042.7	1.00995475	0.915	0.2
"seq.18914.188"	"18914-188"	3	"SL017168"	"Platelet-activating factor acetylhydrolase 2, cytoplasmic"	"PAFA2"	"Q99487"	"5051"	"PAFAH2"	"Human"	"RFU"	"Protein"	"20"	531.9	531.9	0.96167058	"PASS"	0.992	670.3	0.89394958	1.02	0.2
"seq.18916.25"	"18916-25"	3	"SL004707"	"Inosine triphosphate pyrophosphatase"	"Inosine triphosphatase"	"Q9BY32"	"3704"	"ITPA"	"Human"	"RFU"	"Protein"	"20"	3666	3666	0.92850087	"PASS"	1.116	4537.9	0.79657555	1.061	0.2
"seq.18917.53"	"18917-53"	3	"SL005382"	"Pancreatic alpha-amylase"	"Pancreatic alpha-amylase"	"P04746"	"279"	"AMY2A"	"Human"	"RFU"	"Protein"	"0.5"	14674.6	14674.6	1.01999736	"PASS"	0.973	14067.6	0.99869333	1.015	0.005
"seq.18918.86"	"18918-86"	3	"SL011402"	"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"	"PDE4A"	"P27815"	"5141"	"PDE4A"	"Human"	"RFU"	"Protein"	"20"	184.2	184.2	0.99406368	"PASS"	0.978	178.7	1.04067797	0.983	0.2
"seq.18921.30"	"18921-30"	3	"SL007331"	"Phosphate-regulating neutral endopeptidase"	"PHEX"	"P78562"	"5251"	"PHEX"	"Human"	"RFU"	"Protein"	"20"	268.1	268.1	0.99296296	"PASS"	1.038	266.4	1.06515693	1.025	0.2
"seq.18922.27"	"18922-27"	3	"SL007199"	"Macrosialin"	"CD68"	"P34810"	"968"	"CD68"	"Human"	"RFU"	"Protein"	"20"	1121.8	1121.8	0.96324918	"PASS"	1.002	1352.1	0.89137863	1.003	0.2
"seq.18925.24"	"18925-24"	3	"SL005690"	"Proteasome subunit alpha type-5"	"Proteasome subunit alpha type 5"	"P28066"	"5686"	"PSMA5"	"Human"	"RFU"	"Protein"	"20"	4954.1	4954.1	1.10142511	"FLAG"	1.325	5556.3	0.90432989	1.092	0.2
"seq.18926.7"	"18926-7"	3	"SL008802"	"Proteasome subunit alpha type-3"	"PSA3"	"P25788"	"5684"	"PSMA3"	"Human"	"RFU"	"Protein"	"20"	400.7	400.7	1	"PASS"	1.014	343.2	1.02690928	1.007	0.2
"seq.18927.14"	"18927-14"	3	"SL012569"	"Retinoic acid early transcript 1G protein"	"RET1G"	"Q6H3X3"	"353091"	"RAET1G"	"Human"	"RFU"	"Protein"	"20"	1246.3	1246.3	1.14412926	"PASS"	1.028	1337	1.12940643	1.052	0.2
"seq.18928.10"	"18928-10"	3	"SL021527"	"Protein S100-Z"	"S100Z"	"Q8WXG8"	"170591"	"S100Z"	"Human"	"RFU"	"Protein"	"20"	345.1	345.1	0.98319088	"PASS"	1.047	281.5	1.01979905	1.043	0.2
"seq.18930.28"	"18930-28"	3	"SL008427"	"Slit homolog 2 protein"	"SLIT2"	"O94813"	"9353"	"SLIT2"	"Human"	"RFU"	"Protein"	"20"	4685.6	4685.6	0.9787154	"PASS"	0.947	4870.2	0.96083337	0.994	0.2
"seq.18931.40"	"18931-40"	3	"SL011409"	"Slit homolog 3 protein"	"SLIT3"	"O75094"	"6586"	"SLIT3"	"Human"	"RFU"	"Protein"	"0.5"	2573.7	2573.7	1.07780895	"PASS"	1.03	2851.8	0.98847794	1.032	0.005
"seq.18932.84"	"18932-84"	3	"SL020267"	"Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1"	"NMNA1"	"Q9HAN9"	""	"NMNAT1"	"Human"	"RFU"	"Protein"	"20"	876.8	876.8	0.98605488	"PASS"	1.031	891.2	0.97900849	1	0.2
"seq.18933.4"	"18933-4"	3	"SL013786"	"Protein-glutamine gamma-glutamyltransferase 4"	"TGM4"	"P49221"	"7047"	"TGM4"	"Human"	"RFU"	"Protein"	"20"	506.1	506.1	1.00977654	"PASS"	1.031	420.6	0.96143617	1.056	0.2
"seq.18934.50"	"18934-50"	3	"SL004717"	"Protein-glutamine gamma-glutamyltransferase 2"	"Tissue transglutaminase"	"P21980"	"7052"	"TGM2"	"Human"	"RFU"	"Protein"	"0.5"	1518.7	1518.7	0.96818819	"PASS"	0.995	350.7	1.01172474	1.007	0.005
"seq.18935.14"	"18935-14"	3	"SL004493"	"Toll-like receptor 5"	"TLR5"	"O60602"	"7100"	"TLR5"	"Human"	"RFU"	"Protein"	"0.5"	2528.3	2528.3	1.03250704	"PASS"	1.043	3650.7	1.01534075	1.018	0.005
"seq.18938.3"	"18938-3"	3	"SL021274"	"Very low-density lipoprotein receptor"	"VLDLR"	"P98155"	"7436"	"VLDLR"	"Human"	"RFU"	"Protein"	"20"	1417.6	1417.6	1.11193035	"FLAG"	1.107	1117.3	1.17234535	1.279	0.2
"seq.18942.11"	"18942-11"	3	"SL016413"	"Proteasome subunit beta type-9"	"PSB9"	"P28065"	"5698"	"PSMB9"	"Human"	"RFU"	"Protein"	"20"	1029	1029	0.97167139	"PASS"	1.092	1190.5	0.76477146	1.058	0.2
"seq.18943.4"	"18943-4"	3	"SL020290"	"Prostaglandin reductase 2"	"PTGR2"	"Q8N8N7"	""	"PTGR2"	"Human"	"RFU"	"Protein"	"20"	2520.4	2520.4	1.00876526	"PASS"	0.999	3622.5	1.00166918	1.013	0.2
"seq.18945.11"	"18945-11"	3	"SL005113"	"Regulator of G-protein signaling 1"	"RGS1"	"Q08116"	"5996"	"RGS1"	"Human"	"RFU"	"Protein"	"20"	4314.2	4314.2	0.98630575	"PASS"	1.11	3241.6	0.87672736	1.011	0.2
"seq.18947.3"	"18947-3"	3	"SL017499"	"Leucine-rich repeat-containing protein 3B"	"LRC3B"	"Q96PB8"	""	"LRRC3B"	"Human"	"RFU"	"Protein"	"20"	511	511	1.00828729	"PASS"	1.028	500.3	1.03967447	0.977	0.2
"seq.18950.13"	"18950-13"	3	"SL007124"	"Ras-related C3 botulinum toxin substrate 2"	"RAC2"	"P15153"	"5880"	"RAC2"	"Human"	"RFU"	"Protein"	"20"	1729.2	1729.2	0.97971671	"PASS"	1.01	1853.9	0.93917011	1.009	0.2
"seq.19108.50"	"19108-50"	3	"SL013794"	"Methyl-CpG-binding protein 2"	"MECP2"	"P51608"	"4204"	"MECP2"	"Human"	"RFU"	"Protein"	"20"	336.8	336.8	1.00928978	"PASS"	0.989	326.4	1.03982711	0.965	0.2
"seq.19109.32"	"19109-32"	3	"SL006632"	"Transcription elongation factor A protein-like 8"	"TCAL8"	"Q8IYN2"	"90843"	"TCEAL8"	"Human"	"RFU"	"Protein"	"20"	381.3	381.3	1.02389903	"PASS"	0.946	411	1.08725406	0.962	0.2
"seq.19110.6"	"19110-6"	3	"SL010947"	"Protein MEMO1"	"MEMO1"	"Q9Y316"	"51072"	"MEMO1"	"Human"	"RFU"	"Protein"	"20"	556.5	556.5	0.98757764	"PASS"	0.989	611.9	1.05317941	0.962	0.2
"seq.19111.10"	"19111-10"	3	"SL013053"	"NEDD8-conjugating enzyme Ubc12"	"UBC12"	"P61081"	"9040"	"UBE2M"	"Human"	"RFU"	"Protein"	"20"	1657.4	1657.4	0.97328087	"PASS"	1.039	1430.2	0.93427283	0.998	0.2
"seq.19112.2"	"19112-2"	3	"SL013231"	"Transcription elongation factor A protein-like 3"	"TCAL3"	"Q969E4"	"85012"	"TCEAL3"	"Human"	"RFU"	"Protein"	"20"	1279	1279	0.94286767	"PASS"	0.998	1401.1	1.09166951	0.908	0.2
"seq.19113.66"	"19113-66"	3	"SL009024"	"SH3 domain-binding glutamic acid-rich-like protein 2"	"SH3L2"	"Q9UJC5"	"83699"	"SH3BGRL2"	"Human"	"RFU"	"Protein"	"0.5"	1021.5	1021.5	1.01500397	"PASS"	0.966	1065.9	1.05865893	0.936	0.005
"seq.19114.8"	"19114-8"	3	"SL014563"	"Thymidine kinase 2, mitochondrial"	"KITM"	"O00142"	"7084"	"TK2"	"Human"	"RFU"	"Protein"	"20"	2532.8	2532.8	0.98629283	"PASS"	0.945	2228	0.90820425	1.054	0.2
"seq.19115.13"	"19115-13"	3	"SL015135"	"Carboxymethylenebutenolidase homolog"	"CMBL"	"Q96DG6"	"134147"	"CMBL"	"Human"	"RFU"	"Protein"	"20"	447.2	447.2	0.99399867	"PASS"	0.937	406	0.9637931	0.957	0.2
"seq.19116.1"	"19116-1"	3	"SL006668"	"Biogenesis of lysosome-related organelles complex 1 subunit 5"	"MUTED"	"Q8TDH9"	"63915"	"MUTED"	"Human"	"RFU"	"Protein"	"20"	643.2	643.2	1.07684581	"PASS"	0.992	628.9	1.05841698	1.004	0.2
"seq.19117.3"	"19117-3"	3	"SL015127"	"Protein phosphatase 1 regulatory subunit 14A"	"PP14A"	"Q96A00"	"94274"	"PPP1R14A"	"Human"	"RFU"	"Protein"	"20"	5561.1	5561.1	0.98609806	"PASS"	1.004	1417	0.99556025	1.028	0.2
"seq.19118.47"	"19118-47"	3	"SL013229"	"Osteoclast-stimulating factor 1"	"OSTF1"	"Q92882"	"26578"	"OSTF1"	"Human"	"RFU"	"Protein"	"20"	1654.3	1654.3	1.02148811	"PASS"	1.035	1410.3	1.0187831	0.992	0.2
"seq.19119.10"	"19119-10"	3	"SL013775"	"DNA damage-inducible transcript 3 protein"	"DDIT3"	"P35638"	"1649"	"DDIT3"	"Human"	"RFU"	"Protein"	"20"	297.6	297.6	1.02057613	"PASS"	1.042	257.4	0.90648797	1.109	0.2
"seq.19120.33"	"19120-33"	3	"SL014720"	"D-amino-acid oxidase"	"OXDA"	"P14920"	"1610"	"DAO"	"Human"	"RFU"	"Protein"	"20"	396.3	396.3	1.03879423	"PASS"	0.958	589.9	1.0331074	0.944	0.2
"seq.19121.3"	"19121-3"	3	"SL009019"	"Ubiquilin-2"	"UBQL2"	"Q9UHD9"	"29978"	"UBQLN2"	"Human"	"RFU"	"Protein"	"20"	3811.4	3811.4	1.00094543	"PASS"	0.935	3489.8	0.99208704	1.014	0.2
"seq.19122.47"	"19122-47"	3	"SL016370"	"Myosin regulatory light chain 12B"	"ML12B"	"O14950"	"103910"	"MYL12B"	"Human"	"RFU"	"Protein"	"20"	378.3	378.3	1.0088	"PASS"	0.973	444.9	0.93987578	1.03	0.2
"seq.19123.6"	"19123-6"	3	"SL012723"	"NF-kappa-B inhibitor delta"	"IKBD"	"Q8NI38"	"84807"	"NFKBID"	"Human"	"RFU"	"Protein"	"20"	2419.7	2419.7	0.96329472	"PASS"	1.071	2677.6	0.91787421	1.001	0.2
"seq.19124.9"	"19124-9"	3	"SL013222"	"Ubiquitin-like domain-containing CTD phosphatase 1"	"UBCP1"	"Q8WVY7"	"134510"	"UBLCP1"	"Human"	"RFU"	"Protein"	"20"	1812.3	1812.3	0.96790216	"PASS"	0.944	1434.7	0.8789466	1.04	0.2
"seq.19125.26"	"19125-26"	3	"SL016404"	"cAMP-dependent protein kinase type II-alpha regulatory subunit"	"KAP2"	"P13861"	"5576"	"PRKAR2A"	"Human"	"RFU"	"Protein"	"20"	526.6	526.6	1.00611387	"PASS"	1.024	492.5	0.9320354	0.986	0.2
"seq.19126.4"	"19126-4"	3	"SL005717"	"Regulation of nuclear pre-mRNA domain-containing protein 1B"	"C20orf77"	"Q9NQG5"	"58490"	"RPRD1B"	"Human"	"RFU"	"Protein"	"20"	1926.4	1926.4	1.08376934	"PASS"	0.905	3296.9	1.03027062	0.997	0.2
"seq.19127.1"	"19127-1"	3	"SL007954"	"Heat shock protein beta-6"	"HSPB6"	"O14558"	"126393"	"HSPB6"	"Human"	"RFU"	"Protein"	"20"	11369.4	11369.4	0.97636673	"PASS"	0.919	11896.9	0.95065052	0.985	0.2
"seq.19129.15"	"19129-15"	3	"SL006740"	"Methenyltetrahydrofolate synthase domain-containing protein"	"MTHFSD"	"Q2M296"	"64779"	"MTHFSD"	"Human"	"RFU"	"Protein"	"20"	1673.1	1673.1	0.98077261	"PASS"	1.038	1617.8	0.88871773	0.994	0.2
"seq.19130.81"	"19130-81"	3	"SL013044"	"Serpin B8"	"SPB8"	"P50452"	"5271"	"SERPINB8"	"Human"	"RFU"	"Protein"	"20"	836.7	836.7	0.97008696	"PASS"	0.988	800.6	1.00734409	0.976	0.2
"seq.19131.184"	"19131-184"	3	"SL014895"	"Nucleolysin TIAR"	"TIAR"	"Q01085"	"7073"	"TIAL1"	"Human"	"RFU"	"Protein"	"20"	956.6	956.6	1.02059106	"PASS"	1.012	982.6	0.98598227	0.991	0.2
"seq.19132.1"	"19132-1"	3	"SL015005"	"39S ribosomal protein L2, mitochondrial"	"RM02"	"Q5T653"	"51069"	"MRPL2"	"Human"	"RFU"	"Protein"	"20"	756.6	756.6	1.00678643	"PASS"	0.985	765	1.10018904	0.981	0.2
"seq.19134.66"	"19134-66"	3	"SL014837"	"DNA-directed RNA polymerases I, II, and III subunit RPABC4"	"RPAB4"	"P53803"	"5440"	"POLR2K"	"Human"	"RFU"	"Protein"	"20"	4050.3	4050.3	0.98669882	"PASS"	1.004	2547.1	0.9783097	0.998	0.2
"seq.19135.5"	"19135-5"	3	"SL009395"	"7-methylguanosine phosphate-specific 5'-nucleotidase"	"Cytosolic 5'-nucleotidase III-like protein"	"Q969T7"	"115024"	"NT5C3L"	"Human"	"RFU"	"Protein"	"20"	1932.4	1932.4	0.97467971	"PASS"	0.983	1478.8	0.97492558	0.996	0.2
"seq.19136.22"	"19136-22"	3	"SL007346"	"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"	"MMSA"	"Q02252"	"4329"	"ALDH6A1"	"Human"	"RFU"	"Protein"	"20"	1703.3	1703.3	1.00270795	"PASS"	1.014	2442.5	0.97621504	1.061	0.2
"seq.19139.3"	"19139-3"	3	"SL018905"	"Heat shock factor 2-binding protein"	"HSF2B"	"O75031"	""	"HSF2BP"	"Human"	"RFU"	"Protein"	"20"	1195	1195	0.9543204	"PASS"	1.102	689.1	0.90523445	1.094	0.2
"seq.19141.22"	"19141-22"	3	"SL014824"	"Death-associated protein 1"	"DAP1"	"P51397"	"1611"	"DAP"	"Human"	"RFU"	"Protein"	"0.5"	754.5	754.5	1.06058476	"PASS"	1.036	722.7	1.10162067	1.021	0.005
"seq.19142.39"	"19142-39"	3	"SL018889"	"DNA (cytosine-5)-methyltransferase 3-like"	"DNM3L"	"Q9UJW3"	""	"DNMT3L"	"Human"	"RFU"	"Protein"	"20"	440.4	440.4	0.99977299	"PASS"	1.049	468.3	1.01194853	0.985	0.2
"seq.19143.38"	"19143-38"	3	"SL013157"	"NADH-cytochrome b5 reductase 2"	"NB5R2"	"Q6BCY4"	"51700"	"CYB5R2"	"Human"	"RFU"	"Protein"	"20"	998.6	998.6	1.01607652	"PASS"	0.955	1307.2	0.97111738	0.99	0.2
"seq.19144.9"	"19144-9"	3	"SL014722"	"Transcription factor 4"	"ITF2"	"P15884"	"6925"	"TCF4"	"Human"	"RFU"	"Protein"	"20"	600.7	600.7	0.96451509	"PASS"	0.95	13839.3	0.99092709	0.918	0.2
"seq.19145.4"	"19145-4"	3	"SL015073"	"Melanoregulin"	"MREG"	"Q8N565"	"55686"	"MREG"	"Human"	"RFU"	"Protein"	"20"	1430	1430	1.02788959	"PASS"	0.969	1407.8	1.03144836	0.983	0.2
"seq.19147.6"	"19147-6"	3	"SL011890"	"Galactoside-binding soluble lectin 13"	"PP13"	"Q9UHV8"	"29124"	"LGALS13"	"Human"	"RFU"	"Protein"	"20"	869.5	869.5	0.99257991	"PASS"	1.02	813.7	1.01163467	0.975	0.2
"seq.19148.58"	"19148-58"	3	"SL012993"	"Mitochondrial import inner membrane translocase subunit Tim8 A"	"TIM8A"	"O60220"	"1678"	"TIMM8A"	"Human"	"RFU"	"Protein"	"20"	259.5	259.5	0.94501092	"PASS"	0.966	209.2	0.97850679	1.021	0.2
"seq.19150.20"	"19150-20"	3	"SL010935"	"Phosphoribosyl pyrophosphate synthase-associated protein 2"	"KPRB"	"O60256"	"5636"	"PRPSAP2"	"Human"	"RFU"	"Protein"	"20"	12438.1	12438.1	0.9499011	"PASS"	1.025	4403.6	0.94969077	1.017	0.2
"seq.19152.4"	"19152-4"	3	"SL011191"	"Protein phosphatase inhibitor 2"	"IPP2"	"P41236"	"5504"	"PPP1R2"	"Human"	"RFU"	"Protein"	"0.5"	5128.2	5128.2	1.15046551	"PASS"	0.992	5578.6	1.00162113	1.124	0.005
"seq.19153.53"	"19153-53"	3	"SL006309"	"Metallophosphoesterase MPPED2"	"MPPD2"	"Q15777"	"744"	"MPPED2"	"Human"	"RFU"	"Protein"	"20"	782.2	782.2	1.07018744	"PASS"	0.991	854	1.08563498	0.942	0.2
"seq.19154.41"	"19154-41"	3	"SL004457"	"Glia-derived nexin"	"Protease nexin I"	"P07093"	"5270"	"SERPINE2"	"Human"	"RFU"	"Protein"	"0.5"	3391.1	3391.1	0.99163669	"PASS"	1.013	3726.8	1.07289524	0.933	0.005
"seq.19158.1"	"19158-1"	3	"SL014957"	"PCNA-associated factor"	"PAF"	"Q15004"	"9768"	"PAF"	"Human"	"RFU"	"Protein"	"0.5"	4250.2	4250.2	1.00108347	"PASS"	0.985	4098.3	0.9911847	0.983	0.005
"seq.19159.9"	"19159-9"	3	"SL005738"	"DNA polymerase delta subunit 4"	"DNA polymerase subunit delta 4"	"Q9HCU8"	"57804"	"POLD4"	"Human"	"RFU"	"Protein"	"20"	924.2	924.2	0.97551193	"PASS"	1.012	391	0.9939772	1.056	0.2
"seq.19161.1"	"19161-1"	3	"SL010976"	"Ubiquitin carboxyl-terminal hydrolase 15"	"UBP15"	"Q9Y4E8"	"9958"	"USP15"	"Human"	"RFU"	"Protein"	"20"	16419.2	16419.2	0.97783971	"PASS"	0.939	6785.5	0.91994621	1.018	0.2
"seq.19163.26"	"19163-26"	3	"SL011278"	"Leucine-rich repeat-containing protein 59"	"LRC59"	"Q96AG4"	"55379"	"LRRC59"	"Human"	"RFU"	"Protein"	"20"	1336.2	1336.2	0.94698795	"PASS"	0.921	2170.1	1.01005367	0.998	0.2
"seq.19166.15"	"19166-15"	3	"SL008098"	"40S ribosomal protein S19"	"RS19"	"P39019"	"6223"	"RPS19"	"Human"	"RFU"	"Protein"	"20"	6753.4	6753.4	1.11095757	"PASS"	1	5967.2	1.05779713	1.143	0.2
"seq.19168.71"	"19168-71"	3	"SL008599"	"Proline-serine-threonine phosphatase-interacting protein 1"	"PPIP1"	"O43586"	"9051"	"PSTPIP1"	"Human"	"RFU"	"Protein"	"20"	845.5	845.5	1.01209002	"PASS"	1.004	883.2	1.07569975	0.961	0.2
"seq.19169.88"	"19169-88"	3	"SL007005"	"Acidic fibroblast growth factor intracellular-binding protein"	"FIBP"	"O43427"	"9158"	"FIBP"	"Human"	"RFU"	"Protein"	"20"	341.5	341.5	1.00529879	"PASS"	0.964	488	1.03078781	0.976	0.2
"seq.19170.25"	"19170-25"	3	"SL006751"	"DNA polymerase epsilon subunit 3"	"DPOE3"	"Q9NRF9"	"54107"	"POLE3"	"Human"	"RFU"	"Protein"	"20"	875.8	875.8	1.01283682	"PASS"	0.998	890	1.0391552	0.974	0.2
"seq.19173.5"	"19173-5"	3	"SL011267"	"AN1-type zinc finger protein 1"	"ZFAN1"	"Q8TCF1"	"79752"	"ZFAND1"	"Human"	"RFU"	"Protein"	"20"	3841.3	3841.3	0.95597531	"PASS"	1.02	2958.6	0.98819201	0.991	0.2
"seq.19174.141"	"19174-141"	3	"SL010781"	"Golgin subfamily A member 7"	"GOGA7"	"Q7Z5G4"	"51125"	"GOLGA7"	"Human"	"RFU"	"Protein"	"20"	317	317	1.00987576	"PASS"	0.994	327.4	1.04482531	0.967	0.2
"seq.19175.18"	"19175-18"	3	"SL015568"	"MARCKS-related protein"	"MARCKSL1"	"P49006"	"65108"	"MARCKSL1"	"Human"	"RFU"	"Protein"	"0.5"	4056.8	4056.8	0.98320448	"PASS"	1.013	3414	0.99546046	1.003	0.005
"seq.19176.27"	"19176-27"	3	"SL011300"	"Protein FAM49B"	"FA49B"	"Q9NUQ9"	"51571"	"FAM49B"	"Human"	"RFU"	"Protein"	"0.5"	1367	1367	1.03513554	"PASS"	1	1201.6	1.03388292	1.002	0.005
"seq.19177.7"	"19177-7"	3	"SL011252"	"MOB kinase activator 1B"	"MOL1A"	"Q7L9L4"	"92597"	"MOBKL1A"	"Human"	"RFU"	"Protein"	"0.5"	1008.7	1008.7	0.99018357	"PASS"	1.005	805.3	0.96406384	1.018	0.005
"seq.19180.38"	"19180-38"	3	"SL008322"	"PTB domain-containing engulfment adapter protein 1"	"GULP1"	"Q9UBP9"	"51454"	"GULP1"	"Human"	"RFU"	"Protein"	"20"	2817.9	2817.9	0.97691108	"PASS"	0.968	2538.7	1.18468847	1.137	0.2
"seq.19183.164"	"19183-164"	3	"SL008622"	"60S ribosomal protein L12"	"RL12"	"P30050"	"6136"	"RPL12"	"Human"	"RFU"	"Protein"	"20"	7467.9	7467.9	0.95606253	"PASS"	1.089	7660.8	0.86316142	1.008	0.2
"seq.19187.21"	"19187-21"	3	"SL020523"	"STAM-binding protein"	"STABP"	"O95630"	"10617"	"STAMBP"	"Human"	"RFU"	"Protein"	"20"	1056.1	1056.1	1.00628871	"PASS"	0.957	980.6	1.03296166	1.001	0.2
"seq.19188.21"	"19188-21"	3	"SL004715"	"nucleosome assembly protein 1-like 4"	"NAP2L"	"Q99733"	"4676"	"NAP1L4"	"Human"	"RFU"	"Protein"	"0.5"	1918.8	1918.8	1.00125235	"PASS"	0.963	1001.4	0.98718938	1.009	0.005
"seq.19189.2"	"19189-2"	3	"SL010983"	"Ubiquitin carboxyl-terminal hydrolase 14"	"UBP14"	"P54578"	"9097"	"USP14"	"Human"	"RFU"	"Protein"	"20"	17796.2	17796.2	0.95020503	"PASS"	0.96	7269.9	0.88422611	1.055	0.2
"seq.19190.4"	"19190-4"	3	"SL014590"	"Ubiquitin/ISG15-conjugating enzyme E2 L6"	"UB2L6"	"O14933"	"9246"	"UBE2L6"	"Human"	"RFU"	"Protein"	"0.005"	509.1	509.1	0.86552193	"PASS"	1.073	519.5	0.92766035	0.951	5e-05
"seq.19193.18"	"19193-18"	3	"SL013059"	"Prefoldin subunit 3"	"PFD3"	"P61758"	"7411"	"VBP1"	"Human"	"RFU"	"Protein"	"20"	3021	3021	0.95640612	"PASS"	0.987	3263.4	0.8660379	1.059	0.2
"seq.19194.9"	"19194-9"	3	"SL015828"	"D-tyrosyl-tRNA(Tyr) deacylase 1"	"Histidyl-tRNA synthetase-related"	"Q8TEA8"	"92675"	"DTD1"	"Human"	"RFU"	"Protein"	"20"	3404.4	3404.4	0.96071791	"PASS"	0.986	3791.6	1.02948381	0.949	0.2
"seq.19195.85"	"19195-85"	3	"SL013041"	"40S ribosomal protein S5"	"RS5"	"P46782"	"6193"	"RPS5"	"Human"	"RFU"	"Protein"	"20"	2031.6	2031.6	1.02466334	"PASS"	1.006	1882.9	0.9707105	1.042	0.2
"seq.19196.73"	"19196-73"	3	"SL015588"	"Homeodomain-only protein"	"HOP"	"Q9BPY8"	"84525"	"HOPX"	"Human"	"RFU"	"Protein"	"20"	1339.8	1339.8	0.99524588	"PASS"	0.996	1206	1.08802988	0.988	0.2
"seq.19197.95"	"19197-95"	3	"SL016788"	"Acetyl-CoA acetyltransferase, mitochondrial"	"THIL"	"P24752"	"38"	"ACAT1"	"Human"	"RFU"	"Protein"	"20"	3943.2	3943.2	0.94520351	"PASS"	1.006	6021.6	0.97831588	0.964	0.2
"seq.19199.3"	"19199-3"	3	"SL014831"	"DNA-directed RNA polymerase II subunit RPB11-a"	"RPB11"	"P52435"	"5439"	"POLR2J"	"Human"	"RFU"	"Protein"	"20"	504.1	504.1	1.01694573	"PASS"	1.008	493.9	0.9936921	1.026	0.2
"seq.19200.16"	"19200-16"	3	"SL008216"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5"	"NDUA5"	"Q16718"	"4698"	"NDUFA5"	"Human"	"RFU"	"Protein"	"20"	609.5	609.5	1.01854947	"PASS"	1.015	628.6	1.08259325	0.951	0.2
"seq.19202.10"	"19202-10"	3	"SL010521"	"Tyrosine-protein kinase BTK"	"BTK"	"Q06187"	"695"	"BTK"	"Human"	"RFU"	"Protein"	"20"	6174.2	6174.2	0.93995676	"PASS"	1	9314.4	0.95796807	0.973	0.2
"seq.19206.20"	"19206-20"	3	"SL007213"	"7,8-dihydro-8-oxoguanine triphosphatase"	"8ODP"	"P36639"	"4521"	"NUDT1"	"Human"	"RFU"	"Protein"	"20"	545.4	545.4	0.98911861	"PASS"	0.963	523.2	1.11625051	1.002	0.2
"seq.19207.119"	"19207-119"	3	"SL006494"	"Adenosine kinase"	"ADK"	"P55263"	"132"	"ADK"	"Human"	"RFU"	"Protein"	"20"	644.9	644.9	0.97652938	"PASS"	0.986	533.7	1.04947111	0.998	0.2
"seq.19208.8"	"19208-8"	3	"SL004129"	"Activin receptor type-2A"	"Activin RIIA"	"P27037"	"92"	"ACVR2A"	"Human"	"RFU"	"Protein"	"20"	1090.6	1090.6	1.08312643	"PASS"	0.999	984.6	1.21868365	1.008	0.2
"seq.19209.6"	"19209-6"	3	"SL004544"	"NF-kappa-B inhibitor alpha"	"IKB-alpha"	"P25963"	"4792"	"NFKBIA"	"Human"	"RFU"	"Protein"	"20"	322.7	322.7	0.93373843	"PASS"	1.033	269.6	1.01669817	0.993	0.2
"seq.19212.4"	"19212-4"	3	"SL007745"	"Deleted in malignant brain tumors 1 protein"	"DMBT1"	"Q9UGM3"	"1755"	"DMBT1"	"Human"	"RFU"	"Protein"	"20"	430.9	430.9	1.03806312	"PASS"	0.962	439	1.00513179	0.994	0.2
"seq.19213.1"	"19213-1"	3	"SL012371"	"Serine protease inhibitor Kazal-type 4"	"ISK4"	"O60575"	"27290"	"SPINK4"	"Human"	"RFU"	"Protein"	"20"	2768.7	2768.7	1.0698636	"PASS"	0.939	2399.6	1.13513181	1.073	0.2
"seq.19215.7"	"19215-7"	3	"SL007570"	"Protein NDRG1"	"NDRG1"	"Q92597"	"10397"	"NDRG1"	"Human"	"RFU"	"Protein"	"20"	1209.8	1209.8	1.01869316	"PASS"	0.966	1005.2	1.09533726	0.993	0.2
